date,support
4/23 - 4/29 ,13
4/29 - 5/5,12
5/7 - 5/13,9
5/14 - 5/20,15
5/21 - 5/27,14
5/28 - 6/3,10
6/4 - 6/10,6
6/11 - 6/17,9
6/18 - 6/24,8
6/25 - 7/1,10
